Location,latitude,longitude
"TTD Quarters, Tirupati, Andhra Pradesh, IN",13.62507815,79.42304288743213
"Reddigunta, Tirupati, Andhra Pradesh, IN",13.7580377,79.8127696
"Tiruchanur Road, Tirupati, Andhra Pradesh, IN",13.6314297,79.4604674
"Renigunta Road, Tirupati, Andhra Pradesh, IN",13.6387323,79.5104762
"Karakambadi Road, Tirupati, Andhra Pradesh, IN",13.6548126,79.4695134
"Ashok Nagar, Tirupati, Andhra Pradesh, IN",13.6316368,79.4231711
"Tilak Road, Tirupati, Andhra Pradesh, IN",13.6338464,79.4209009
"Gangamma Temple Road, Tirupati, Andhra Pradesh, IN",13.6332697,79.4232175
"Lakshmipuram, Tirupati, Andhra Pradesh, IN",13.731487,79.8246492
"Bairagipatteda, Tirupati, Andhra Pradesh, IN",13.6186167,79.42184040000001
"Harijanawada, Tirupati, Andhra Pradesh, IN",13.5551583,79.4427195
"SV Nagar, Tirupati, Andhra Pradesh, IN",13.67142085,79.3517740483232
"Indira Nagar, Tirupati, Andhra Pradesh, IN",13.6788651,79.3466168174857
"Gandhi Road, Tirupati, Andhra Pradesh, IN",13.6311836,79.4176722
"Beri Street, Tirupati, Andhra Pradesh, IN",13.6296883,79.4147878
"Bandla Street, Tirupati, Andhra Pradesh, IN",13.6312663,79.4219062
"g.car street, Tirupati, Andhra Pradesh, IN",13.6311366,79.4195057
"Nehru Street, Tirupati, Andhra Pradesh, IN",13.6305442,79.4207039
"Doddapuram Street, Tirupati, Andhra Pradesh, IN",13.6338518,79.4196316
"Nehru Nagar, Tirupati, Andhra Pradesh, IN",13.6316368,79.4231711
"Old Alipiri Road, Tirupati, Andhra Pradesh, IN",13.6470032,79.4059764
"Municipal Office Lane, Tirupati, Andhra Pradesh, IN",13.636186200000001,79.42289208385972
"Yadava Street, Tirupati, Andhra Pradesh, IN",13.6324316,79.4191184
"Old Maternity Hospital Road, Tirupati, Andhra Pradesh, IN",13.6389073,79.4160237
"Vivekananda Circle, Tirupati, Andhra Pradesh, IN",13.6165187,79.4287806
"Hare Rama Hare Krishna Road, Tirupati, Andhra Pradesh, IN",13.6473429,79.4143911
"Madhura Nagar, Tirupati, Andhra Pradesh, IN",13.6430013,79.4264049
